category,Scheme Name,1 Year,3 Year,5 Year,10 Year,15 Year
Null,Axis Long Term Equity Fund,51.60%,45.97%,31.85%,-,-
Null,Birla Sun Life Frontline Equity Fund,27.93%,31.15%,21.93%,18.51%,-
Null,Birla Sun Life MNC Fund,88.99%,52.95%,35.57%,25.67%,25.35%
Null,DSP BlackRock Micro Cap Fund,73.37%,58.44%,35.66%,-,-
Null,DSP BlackRock Opportunities Fund,34.91%,32.41%,20.96%,16.49%,-
Null,Franklin India High Growth Companies Fund,53.79%,47.23%,31.08%,-,-
Null,Franklin India Prima Fund,52.07%,47.35%,31.64%,20.83%,26.99%
Null,Franklin India Prima Plus Fund,44.06%,36.70%,24.83%,19.20%,23.88%
Null,Franklin India Smaller Companies Fund,54.12%,54.48%,36.01%,-,-
Null,HDFC Mid-Cap Opportunities Fund,40.36%,43.90%,30.09%,-,-
Null,HDFC Top 200 Fund,14.51%,26.35%,18.05%,17.17%,24.13%
Null,ICICI Prudential Focused Bluechip Equity Fund,22.77%,27.90%,20.23%,-,-
Null,ICICI Prudential Value Discovery Fund,42.02%,45.36%,30.75%,23.77%,-
Null,IDFC Premier Equity Fund,52.51%,41.80%,28.64%,-,-
Null,L&T Equity Fund,35.52%,32.77%,21.55%,17.84%,-
Null,L&T India Value Fund,43.81%,43.40%,28.28%,-,-
Null,Motilal Oswal Most Focused 25 Fund,41.61%,-,-,-,-
Null,Motilal Oswal Most Focused Multicap 35 Fund,68.17%,-,-,-,-
Null,Reliance Equity Opportunities Fund,34.75%,35.82%,25.55%,21.27%,-
Null,Reliance Small Cap Fund,42.68%,54.22%,-,-,-
Null,Reliance Tax Saver (ELSS) Fund,42.98%,46.29%,30.35%,-,-
